NAME（名字）,ALIAS（别名）,ACTORS（演员）,COVER（图片）,DIRECTORS（导演）,GENRES（分类）,LANGUAGES,REGIONS（国家）,RELEASE_DATE（时间）,STORYLINE（简介）
倾城,,黄觉/林心如/丁勇岱/孙敏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1951538144.jpg,黄宏,剧情/犯罪,汉语普通话,中国大陆,2013/5/10,西南某城警官王老石（丁勇岱 饰）对五年前逃脱的银行盗窃犯刘川（黄觉 饰）一直耿耿于怀，发誓要亲手抓获。刘川东躲西藏了好几年，为了女儿，他再次潜回小城，却与王警官不期而遇。两个人展开生死追逐。就在王老石抓获刘川的瞬间，地动山摇，整座城市轰然倾塌。苏醒过来的刘川为了方便，换上了王老石的警服，却没想到这身警服让他陷在救援中无法脱身。而叛逆女孩秦肖雄（林心如 饰）因为刘川的勇敢，心生爱意。
真心话大冒险,,文章/黄维德/苗圃/孙兴/孟丽/李威/秦海璐/刘桦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1402874081.jpg,马志宇,喜剧/爱情,汉语普通话,中国大陆,2012/2/14,徐承康（黄维德饰）是一家策划公司总监，标准的“钻石王老五”，和朋友玩“真心话大冒险”而结识了身为演员的尤美（孟丽饰）。徐在家里举办一个生日宴会，请来了在美国念书的同学跆拳道教练唐菲（苗圃饰），合作公司的好朋友陶颍（秦海璐饰）。同一天，陶颍的小学同学王奔（文章饰）也在KTV召集了一个聚会。王奔是瑞康鞋业董事长的儿子，母亲早逝，心智不是很成熟，是个典型大男孩。王奔的父亲王总（孙兴饰）是个古董车爱好者，为了激励王奔好好做事，送了一辆有特殊含义的古董奔驰车给他，王奔非常兴奋，于是召集了包括酒吧歌手彭卓然（李威饰）在内的几个好朋友聚会庆祝。
玩命时光,玩命·时光,秦昊/徐娇/秦子越/梁家仁/苑琼丹/罗家英,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1820848570.jpg,曲瓅男,惊悚/奇幻,汉语普通话,中国大陆,2012/12/31,三十岁的国文（秦昊 饰），大学计算机专业毕业，一直在大城市里打工，直到亲妹妹国妹妮婚嫁才回到家乡。十年没有回到家乡的国文对家乡的镇子已然感到陌生。中国乡镇的变化之大已经超过了国文的想象。
石榴树上结樱桃,龙凤呈祥,师春玲/宁理/缪婷茹/张刚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1904537338.jpg,陈力,剧情,汉语普通话,中国大陆,2013/4/4,孔繁花（师春玲 饰）是官庄村的村长，尽管身为女流之辈，但孔繁花的能力却一点也不输给男人，在任期间，村子里大大小小的事务均被她安排的井井有条。换届选举即将来临，希望能够连任的孔繁花斗志昂扬地投入到了“战斗”之中，甚至拉来了在外打工养家的丈夫张殿军（宁理 饰）为自己出谋划策。
跟踪孔令学,,范伟/马伊琍/孙宁/支一/白卉子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p933775270.jpg,张骁,喜剧/悬疑,汉语普通话,中国大陆,2011/4/29,中年男子孔令学（范伟 饰）是东北某市双全文武学校的语文老师，他上课认真负责，无奈所面对的是一群不知天高地厚，对祖国美好文字全无兴趣的新新人类。在一次课上，他没收了女孩刘萌（白卉子 饰）的手机，之后又阻止了追求刘萌的社会青年阿祥（支一 饰）的打架行为，由此惹来了一身麻烦。阿祥每天在孔令学下班后跟踪他，声称要“帮助辛苦的孔老师接送孩子下学”，这令一向忠厚本分的孔令学颇为恐慌。为了甩掉这个死缠烂打的小青年，他每天想尽各种办法，可是女儿的学校和家庭住址终于还是被阿祥搞清楚了。在这一过程中，孔令学的生活渐渐变成了一团乱麻……
房不剩防,,赵毅/李念/李菁/何伟/方青卓/陈羽凡/姜超/颜冠英,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1711912687.jpg,孙达,喜剧/爱情,汉语普通话,中国大陆,2011/3/22,不会水的泳池救生员英铭（赵毅 饰）被揭穿后惨遭辞退，债主又派打手在街头围堵他，幸好有售楼员女友小柯（李念 饰）不离不弃，英铭向女友谎称自己是医生之余，又百忙中借来朋友的房子向未来岳母交差。岳母大人对婚房不满，英铭假戏真做把朋友的房子卖了出去，又如法炮制借房向小柯承诺未来的幸福生活，趁小柯挑剔之机，英铭再次把别人本来就是委托他卖掉的房子转手。一来二去，英铭发现了代理售房的利润，亦洞悉了隐藏在自己身上的售房天才，于是和失业的小柯一起，踏上了售房征途。英铭奇招尽出搞定了多个缺陷房，不料却被道中高手摆了一道，不甘失败的英铭决定向国际大项目迈进……
将爱情进行到底,将爱 电影版 / 对你爱爱爱不完(豆友取名),李亚鹏/徐静蕾/王学兵/何洁/程伊/崔达治/优恵/陈明/宁浩/冯瓅/王芸/曹卫宇/赵薇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p797834801.jpg,张一白,剧情/爱情,汉语普通话,中国大陆,2011/2/12,本片分三个章节，分别展现了杨峥（李亚鹏 饰）与文慧（徐静蕾 饰）在12年后的别样生活。第一章：杨峥与文慧在北京结婚多年，虽然物质生活已经让杨峥兑现了对文慧的承诺，但是精神方面却渐行渐远。终于在一次聚会后，杨峥第一次离家出走……第二章：大家在上海组织同学聚会，主办者分别邀请了汽车修理工杨峥和售货员文慧。前者正在与前妻闹离婚，而后者也是单独抚养一对双胞胎儿子。在聚会上，他们在同学们的怂恿下，又一次走进了对方……第三章：深夜里，杨峥接到了文慧的越洋电话。她在电话里哭着唱生日歌，令杨峥下定决心来法国找他。然而，在波尔多车站，杨峥才赫然发现文慧来接的不是自己，而是一个年轻的女孩，他们在葡萄庄园里享受美酒，但是杨峥却逐渐发现了文慧痛苦的根源……
辛亥革命,,赵文瑄/成龙/李冰冰/胡歌/孙淳/姜武/陈冲/余少群/宁静/房祖名/杜宇航/梅婷/陶泽如/邢佳栋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1240455745.jpg,张黎/成龙,剧情/历史/战争,汉语普通话,中国大陆,2011/9/23,19世纪末20世纪初，清王朝三百年江山气数将近，内忧外患，时局动荡，正是乱世之际，英雄辈出，中华民族面临着重大的历史变革。以孙中山（赵文瑄 饰）为首的仁人志士意识到只有民主共和才能救中国，他们组成一个个革命政党，旨在推翻满清政府，建立人民当家作主的民主国家。
假装情侣,,黄渤/江一燕/张默/夏嘉伟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1060964377.jpg,刘奋斗,喜剧/爱情,汉语普通话,中国大陆,2011/6/24,善良的保险公司销售员陈文（黄渤 饰）在广场邂逅了一个疯疯癫癫的女孩，谁知在去精神病院的路上女孩化身成清秀美丽的佳人。虽然惹得一堆麻烦上身，不过陈文次日还是应约与这个叫做沈露（江一燕 饰）的女孩见面。沈露要求陈文做他的假装情侣，而陈文也欣然接受。在接下来的日子里，陈文变成一个随叫随到的小仆人，他按照沈露的要求做着各种各样难为情却又好玩的事情，两人度过了一段难忘的美好时光。在此期间，陈文慢慢喜欢上了这个古灵精怪的女孩，沈露的心中似乎也经历着某种矛盾纠葛。
芳香之城传奇,,朱茵/扎西顿珠/李子雄/张达明/张璇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p856009680.jpg,徐超/陈明新,爱情/奇幻,汉语普通话,中国大陆,2011/2/22,世外桃源“芳香之城”的公主苏凌芳（朱茵 饰）在城堡毁灭之前，被堡主放进小船顺水漂流，为教堂的神父所救并收养。身有奇异芳香的苏凌芳虽先天失语，但有着能用一个啊字感动世人的天籁之音。时间的残酷带走了神父，也随之埋葬了她谜一般的身世，独自生活的哑女无意间救下了父亲倒台躲避仇人追杀的80后富少蒋少君（扎西顿珠 饰）。身受重伤的蒋少君，在养伤期间爱上了这个不谙世事的女孩，许诺一生一世保护她。但久居世外的生活让他怀念起以往纸醉金迷的城市生活。一次和老欧（张达明 饰）无意的电话联系暴露了他的行踪，再次被仇家抓住囚禁起来。苏凌芳为了寻找到蒋少君，只身来到这个她未曾接触过的现实世界，几经破折终于和爱人在一起。起初想要利用苏凌芳天籁之音在娱乐圈东山再起的蒋少君，终于在真爱的洗礼下得到了灵魂的救赎，用着自己的方式保护着他所爱的这个女孩。
